location,Basileia,Basileia,Basileia
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Wind Speed,Wind Direction
unit,°C,km/h,°
level,2 m elevation corrected,10 m,10 m
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Temperature,Wind Speed,Wind Direction
20241022T1100,18.350529,10.239453,280.1247
20241022T1200,19.12053,11.304229,279.16235
20241022T1300,19.020529,5.7599998,270.0
20241022T1400,18.71053,7.289444,290.22485
20241022T1500,18.64053,11.885453,305.13422
20241022T1600,18.14053,11.983188,327.26477
20241022T1700,16.340528,14.205182,351.25385
20241022T1800,14.990529,12.768586,338.49857
20241022T1900,14.8005295,11.165805,339.22775
20241022T2000,14.640529,9.346143,344.35776
20241022T2100,14.440529,8.4042845,350.13422
20241022T2200,14.160529,8.311245,355.03027
20241022T2300,13.520529,8.473393,347.73523
20241023T0000,12.8005295,6.9527545,338.7495
20241023T0100,12.380529,6.9247384,332.10272
20241023T0200,11.950529,6.9247384,332.10272
20241023T0300,11.570529,7.289445,327.0948
20241023T0400,11.240529,7.7043357,322.59467
20241023T0500,11.010529,6.3690495,312.7094
20241023T0600,10.700529,6.3690495,317.29062
20241023T0700,10.580529,6.989936,325.4915
20241023T0800,10.940529,6.489992,326.30994
20241023T0900,11.660529,7.2,323.13013
20241023T1000,12.490529,6.792466,327.99463
20241023T1100,13.380529,6.9247384,332.10272
20241023T1200,14.640529,6.379216,343.61047
20241023T1300,15.930529,4.32,360.0
20241023T1400,16.64053,3.4152596,71.56504
20241023T1500,17.510529,7.9526596,95.19443
20241023T1600,17.190529,8.707238,97.125015
20241023T1700,15.640529,9.227524,110.556046
20241023T1800,14.020529,9.826088,118.442924
20241023T1900,13.450529,8.891344,111.37062
20241023T2000,12.350529,7.4128532,119.054596
20241023T2100,11.500529,5.3517847,132.27368
20241023T2200,10.840529,4.072935,135.0
20241023T2300,10.220529,3.396233,122.00538
